1,Toy Story (1995),null
2,GoldenEye (1995),null
3,Four Rooms (1995),null
4,Get Shorty (1995),null
5,Copycat (1995),null
6,Shanghai Triad (Yao a yao yao dao waipo qiao),null (1995),null
7,Twelve Monkeys (1995),null
8,Babe (1995),null
9,Dead Man Walking (1995),null
10,Richard III (1995),null
11,Seven (Se7en),null (1995),null
12,Usual Suspects, The (1995),null
13,Mighty Aphrodite (1995),null
14,Postino, Il (1994),null
15,Mr. Holland's Opus (1995),null
16,French Twist (Gazon maudit),null (1995),null
17,From Dusk Till Dawn (1996),null
18,White Balloon, The (1995),null
19,Antonia's Line (1995),null
20,Angels and Insects (1995),null
21,Muppet Treasure Island (1996),null
22,Braveheart (1995),null
23,Taxi Driver (1976),null
24,Rumble in the Bronx (1995),null
25,Birdcage, The (1996),null
26,Brothers McMullen, The (1995),null
27,Bad Boys (1995),null
28,Apollo 13 (1995),null
29,Batman Forever (1995),null
30,Belle de jour (1967),null
31,Crimson Tide (1995),null
32,Crumb (1994),null
33,Desperado (1995),null
34,Doom Generation, The (1995),null
35,Free Willy 2: The Adventure Home (1995),null
36,Mad Love (1995),null
37,Nadja (1994),null
38,Net, The (1995),null
39,Strange Days (1995),null
40,To Wong Foo, Thanks for Everything! Julie Newmar (1995),null
41,Billy Madison (1995),null
42,Clerks (1994),null
43,Disclosure (1994),null
44,Dolores Claiborne (1994),null
45,Eat Drink Man Woman (1994),null
46,Exotica (1994),null
47,Ed Wood (1994),null
48,Hoop Dreams (1994),null
49,I.Q. (1994),null
50,Star Wars (1977),null
51,Legends of the Fall (1994),null
52,Madness of King George, The (1994),null
53,Natural Born Killers (1994),null
54,Outbreak (1995),null
55,Professional, The (1994),null
56,Pulp Fiction (1994),null
57,Priest (1994),null
58,Quiz Show (1994),null
59,Three Colors: Red (1994),null
60,Three Colors: Blue (1993),null
61,Three Colors: White (1994),null
62,Stargate (1994),null
63,Santa Clause, The (1994),null
64,Shawshank Redemption, The (1994),null
65,What's Eating Gilbert Grape (1993),null
66,While You Were Sleeping (1995),null
67,Ace Ventura: Pet Detective (1994),null
68,Crow, The (1994),null
69,Forrest Gump (1994),null
70,Four Weddings and a Funeral (1994),null
71,Lion King, The (1994),null
72,Mask, The (1994),null
73,Maverick (1994),null
74,Faster Pussycat! Kill! Kill! (1965),null
75,Brother Minister: The Assassination of Malcolm X (1994),null
76,Carlito's Way (1993),null
