1,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press,http //images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg
2,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,http //images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg
3,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,http //images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg
4,Flu  The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,http //images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg
5,The Mummies of Urumchi,E. J. W. Barber,1999,W. W. Norton Company,http //images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg
6,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,http //images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg
7,What If?  The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group,http //images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg
8,PLEADING GUILTY,Scott Turow,1993,Audioworks,http //images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg
9,Under the Black Flag  The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House,http //images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg
10,Where You'll Find Me  And Other Stories,Ann Beattie,2002,Scribner,http //images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg
11,Nights Below Station Street,David Adams Richards,1988,Emblem Editions,http //images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg
12,Hitler's Secret Bankers  The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,Citadel Press,http //images.amazon.com/images/P/080652121X.01.THUMBZZZ.jpg
13,The Middle Stories,Sheila Heti,2004,House of Anansi Press,http //images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg
14,Jane Doe,R. J. Kaiser,1999,Mira Books,http //images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg
15,A Second Chicken Soup for the Woman's Soul Chicken Soup for the Soul Series,Jack Canfield,1998,Health Communications,http //images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg
16,The Witchfinder Amos Walker Mystery Series,Loren D. Estleman,1998,Brilliance Audio - Trade,http //images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg
17,More Cunning Than Man  A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.,http //images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg
18,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub,http //images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg
19,The Testament,John Grisham,1999,Dell,http //images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg
20,Beloved Plume Contemporary Fiction,Toni Morrison,1994,Plume,http //images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg
21,Our Dumb Century  The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,http //images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg
22,New Vegetarian  Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters , Small Ltd,http //images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg
23,If I'd Known Then What I Know Now  Why Not Learn from the Mistakes of Others?   You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,Cypress House,http //images.amazon.com/images/P/1879384493.01.THUMBZZZ.jpg
24,Mary-Kate , Ashley Switching Goals Mary-Kate and Ashley Starring in,Mary-Kate , Ashley Olsen,2000,HarperEntertainment,http //images.amazon.com/images/P/0061076031.01.THUMBZZZ.jpg
25,Tell Me This Isn't Happening,Robynn Clairday,1999,Scholastic,http //images.amazon.com/images/P/0439095026.01.THUMBZZZ.jpg
26,Flood   Mississippi 1927,Kathleen Duey,1998,Aladdin,http //images.amazon.com/images/P/0689821166.01.THUMBZZZ.jpg
27,Wild Animus,Rich Shapero,2004,Too Far,http //images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg
28,Airframe,Michael Crichton,1997,Ballantine Books,http //images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg
29,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,http //images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg
30,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner,http //images.amazon.com/images/P/0684823802.01.THUMBZZZ.jpg
31,Prague   A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,http //images.amazon.com/images/P/0375759778.01.THUMBZZZ.jpg
32,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group,http //images.amazon.com/images/P/0425163091.01.THUMBZZZ.jpg
33,Wie Barney es sieht.,Mordecai Richler,2002,LÃ?Â¼bbe,http //images.amazon.com/images/P/3404921038.01.THUMBZZZ.jpg
34,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,Goldmann,http //images.amazon.com/images/P/3442353866.01.THUMBZZZ.jpg
35,Sturmzeit. Roman.,Charlotte Link,1991,Goldmann,http //images.amazon.com/images/P/3442410665.01.THUMBZZZ.jpg
36,Tage der Unschuld.,Richard North Patterson,2000,Goldmann,http //images.amazon.com/images/P/3442446937.01.THUMBZZZ.jpg
37,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,http //images.amazon.com/images/P/0375406328.01.THUMBZZZ.jpg
38,To Kill a Mockingbird,Harper Lee,1988,Little Brown , Company,http //images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg
39,Seabiscuit  An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,http //images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg
40,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,http //images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg
41,Miss Zukas and the Raven's Dance,Jo Dereske,1996,Avon,http //images.amazon.com/images/P/038078243X.01.THUMBZZZ.jpg
42,Pride and Prejudice,Jane Austen,1983,Bantam,http //images.amazon.com/images/P/055321215X.01.THUMBZZZ.jpg
43,The Therapeutic Touch  How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,Fireside,http //images.amazon.com/images/P/067176537X.01.THUMBZZZ.jpg
44,Downtown,Anne Rivers Siddons,1995,HarperTorch,http //images.amazon.com/images/P/0061099686.01.THUMBZZZ.jpg
45,Icebound,Dean R. Koontz,2000,Bantam Books,http //images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg
46,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,http //images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg
47,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,http //images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg
48,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,http //images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg
